"Name","Major.capsid","Minor.capsid","Baseplate","Major.tail","Minor.tail","Portal","Tail.fiber","Tail.shaft","Collar","HTJ","Other","Confidence","PhageRBPdetect_prediction","PhageRBDdetect_score","ESM_based_label","ESM_based_fiber_prediction"
"lcl|MZ501051.1_prot_QXV76166.1_35",0.34,0.43,0.14,0.22,0.23,1.44,0.36,0.14,0.29,2.42,3.98,0.97,0,5.1250313e-06," other",0
"lcl|MZ501051.1_prot_QXV76167.1_36",0.2,0.81,0.11,0.2,0.45,1.51,0.35,0.13,0.29,0.28,5.67,0.98,0,7.351868e-05," other",0
"lcl|MZ501051.1_prot_QXV76168.1_37",0.05,0.58,0.17,0.25,0.05,0.15,0.25,0.07,0.12,0.45,7.86,0.99,0,4.058454e-06," other",0
"lcl|MZ501051.1_prot_QXV76169.1_38",0.05,0.23,0.99,0.11,0.73,0.11,4.52,0.46,2.24,0.1,0.46,0.6,1,0.9956819," tail_fiber",1
"lcl|MZ501051.1_prot_QXV76170.1_39",0.03,0.27,0.13,0.08,0.13,0.08,0.2,0.07,0.08,0.08,8.84,1,0,7.910155e-08," other",0
"lcl|MZ501051.1_prot_QXV76171.1_40",0,0.03,0.01,0.01,0.01,0.03,0.07,0,0.01,0.02,9.81,1,0,6.9628004e-06," other",0
"lcl|MZ501051.1_prot_QXV76172.1_41",0.02,0.11,0.06,0.04,0.04,0.08,0.11,0.03,0.1,0.09,9.31,1,0,3.869925e-07," other",0
"lcl|MZ501051.1_prot_QXV76173.1_42",0.02,0.11,0.05,0.05,0.09,0.09,0.15,0.03,0.14,0.12,9.14,1,0,3.7911046e-05," other",0
"lcl|MZ501051.1_prot_QXV76174.1_43",0.01,0.14,0.01,0,0.06,0.05,0.2,0,0.17,0.01,9.33,1,0,2.2664919e-08," other",0
"lcl|MZ501051.1_prot_QXV76175.1_44",0.23,0.26,0.05,2.14,0.31,0.3,0.22,0.05,0.21,2.24,3.99,0.97,0,0.016459443," other",0
"lcl|MZ501051.1_prot_QXV76176.1_45",0,0,0,0,0,0,0,0,0,0,10,1,0,1.00869514e-07," other",0
"lcl|MZ501051.1_prot_QXV76177.1_46",0.01,0.02,0.04,0.08,0.1,0.01,0.11,0.03,0,0,9.6,1,0,9.125673e-08," other",0
"lcl|MZ501051.1_prot_QXV76178.1_47",0,0,0,0,0,0,0,0,0,0,10,1,0,6.06089e-08," other",0
"lcl|MZ501051.1_prot_QXV76179.1_48",0.06,0.07,0.02,0.01,0.37,0.01,0.05,0.02,0.01,3.81,5.56,0.98,0,1.0989617e-05," other",0
"lcl|MZ501051.1_prot_QXV76180.1_49",0,0,0,0,0,0.11,0.02,0,0,0,9.86,1,0,5.3092594e-07," other",0
"lcl|MZ501051.1_prot_QXV76181.1_50",0.05,0.15,0.03,0.03,0.05,0.05,0.15,0.03,0.1,0.15,9.22,1,0,2.6825324e-05," other",0
"lcl|MZ501051.1_prot_QXV76182.1_51",0,0.03,0.01,0,0.01,0.01,0.04,0.01,0.01,0.07,9.82,1,0,7.555108e-07," other",0
"lcl|MZ501051.1_prot_QXV76183.1_52",0.03,0.34,0.9,0.57,0.2,0.1,0.12,0.03,0.1,0.09,7.53,0.99,0,4.008202e-07," other",0
"lcl|MZ501051.1_prot_QXV76184.1_53",1.22,0.97,0.62,0.24,0.15,0.2,0.49,0.68,0.16,0.57,4.68,0.98,0,2.8293753e-05," other",0
"lcl|MZ501051.1_prot_QXV76185.1_54",0.04,0.52,0.07,0.05,0.35,0.1,0.32,0.03,0.05,0.42,8.05,0.99,0,2.3211423e-06," other",0
"lcl|MZ501051.1_prot_QXV76186.1_55",0.23,0.83,0.35,0.74,0.3,0.22,1.01,0.24,0.57,0.23,5.28,0.98,0,2.691108e-07," other",0
"lcl|MZ501051.1_prot_QXV76187.1_56",0,0,0,0,0,0,0,0,0,0,9.99,1,0,6.7706324e-06," other",0
"lcl|MZ501051.1_prot_QXV76188.1_57",0.36,0.88,0.38,0.56,0.48,1.45,0.58,0.28,0.65,0.26,4.12,0.97,0,1.1666949e-05," other",0
"lcl|MZ501051.1_prot_QXV76189.1_58",0.04,0.39,0.13,0.11,0.05,0.08,0.24,0.02,0.09,0.72,8.11,0.99,0,6.954883e-05," other",0
"lcl|MZ501051.1_prot_QXV76190.1_59",0,0,0,0,0,0.02,0,0,0,0,9.97,1,0,1.3086579e-07," other",0
"lcl|MZ501051.1_prot_QXV76191.1_60",0.04,0.07,1.51,0.01,0.04,0.01,0.39,0.01,0.35,0.03,7.55,0.99,0,5.831492e-07," other",0
"lcl|MZ501051.1_prot_QXV76192.1_61",0.11,0.45,1.04,0.12,0.4,0.12,0.43,0.06,0.07,3.61,3.58,0.64,0,1.617242e-08," other",0
"lcl|MZ501051.1_prot_QXV76193.1_62",0,0,0.01,0,0.01,0,0.05,0,0,0.07,9.85,1,0,3.9959076e-08," other",0
"lcl|MZ501051.1_prot_QXV76194.1_63",0.03,0.07,0.02,0.05,0.07,0.07,0.08,0.03,0.15,1.04,8.39,0.99,0,9.95071e-07," other",0
"lcl|MZ501051.1_prot_QXV76195.1_64",0,0.08,0,0,0,0.03,0.01,0,0.01,0.1,9.77,1,0,5.6515455e-09," other",0
"lcl|MZ501051.1_prot_QXV76196.1_65",0.87,1.36,0.46,0.29,0.34,1.99,0.6,0.29,0.27,0.53,3.01,0.96,0,0.008489513," other",0
"lcl|MZ501051.1_prot_QXV76197.1_66",0.05,2.04,0.06,0.09,0.08,1.46,0.12,0.05,0.11,0.5,5.43,0.98,0,2.339364e-05," other",0
"lcl|MZ501051.1_prot_QXV76198.1_67",0.02,0.2,0.04,0.01,0.06,0.25,0.13,0.02,0.06,0.07,9.14,1,0,2.1382011e-05," other",0
"lcl|MZ501051.1_prot_QXV76199.1_68",0.01,0.03,0.09,0,0.04,0.03,0.06,0.01,0.02,0.87,8.85,1,0,3.7466048e-08," other",0
"lcl|MZ501051.1_prot_QXV76200.1_69",0.1,0.15,0.17,0.14,0.12,0.09,0.49,0.08,0.77,0.66,7.22,0.99,0,3.619552e-06," other",0
"lcl|MZ501051.1_prot_QXV76201.1_70",0.04,1.68,0.47,0.05,0.08,0.53,0.17,0.08,0.03,0.33,6.55,0.98,0,4.796452e-08," other",0
"lcl|MZ501051.1_prot_QXV76202.1_71",0,0.03,0,0.01,0.04,0,0.03,0,0,0.02,9.87,1,0,3.657436e-07," other",0
"lcl|MZ501051.1_prot_QXV76203.1_72",0,0.1,0.01,0.01,0.02,0.13,0.02,0,0,0.03,9.68,1,0,5.3727657e-08," other",0
"lcl|MZ501051.1_prot_QXV76204.1_73",0,0,0,0,0,0,0,0,0,0,10,1,0,2.1690594e-08," other",0
"lcl|MZ501051.1_prot_QXV76205.1_74",0,0,0,0,0.01,0,0,0,0,0.03,9.96,1,0,9.931573e-08," other",0
"lcl|MZ501051.1_prot_QXV76206.1_75",0,0.11,0.01,0,0.01,0.01,0.01,0,0.01,0.04,9.8,1,0,8.306132e-06," other",0
"lcl|MZ501051.1_prot_QXV76207.1_76",0,0,0,0,0,0,0,0,0,0,10,1,0,5.092336e-08," other",0
"lcl|MZ501051.1_prot_QXV76208.1_77",0,0.01,0.01,0,0.01,0.01,0.02,0,0.02,0.01,9.9,1,0,8.799892e-06," other",0
"lcl|MZ501051.1_prot_QXV76209.1_78",0,0,0,0,0.01,0,0,0,0,0.01,9.97,1,0,1.2949704e-07," other",0
"lcl|MZ501080.1_prot_QXV80767.1_1",0.17,0.37,0.16,0.15,0.29,0.71,0.27,0.36,0.33,0.21,6.99,0.99,0,5.3438405e-05," other",0
"lcl|MZ501080.1_prot_QXV80768.1_2",0.03,0.29,0.06,0.19,0.07,0.08,0.17,0.02,0.05,0.12,8.91,1,0,2.2358523e-05," other",0
"lcl|MZ501080.1_prot_QXV80769.1_3",0.43,0.74,1.53,0.42,1.22,0.66,0.87,0.38,0.36,0.81,2.59,0.96,0,2.3504774e-06," other",0
"lcl|MZ501080.1_prot_QXV80770.1_4",0.75,0.73,0.75,0.24,0.24,4.75,0.4,0.24,0.17,0.59,1.13,0.91,0,0.000102227306," portal",0
"lcl|MZ501080.1_prot_QXV80771.1_5",1.69,1.1,1.52,0.87,0.2,0.97,0.32,0.13,0.19,1.63,1.37,0.8,0,7.132522e-05," other",0
"lcl|MZ501080.1_prot_QXV80772.1_6",0.17,0.2,0.13,1.17,2.48,0.07,3.79,0.94,0.33,0.1,0.61,0.54,0,0.00013654395," other",0
"lcl|MZ501080.1_prot_QXV80773.1_7",4.91,0.58,1.17,0.28,0.43,0.84,0.31,0.25,0.16,0.3,0.76,0.92,0,1.17212485e-05," major_capsid",0
"lcl|MZ501080.1_prot_QXV80774.1_8",0.03,0.22,0.03,0.09,0.06,0.08,0.11,0.03,0.1,0.27,8.98,1,0,3.803197e-06," other",0
"lcl|MZ501080.1_prot_QXV80775.1_9",0.04,0.13,0.04,0.06,0.17,2.62,0.2,0.06,0.2,0.63,5.85,0.98,0,1.4759433e-05," other",0
"lcl|MZ501080.1_prot_QXV80776.1_10",0.26,0.32,1.21,2.65,1.23,0.67,0.57,0.21,0.21,0.54,2.13,0.59,0,0.00013393651," other",0
"lcl|MZ501080.1_prot_QXV80777.1_11",0.53,4.01,1.03,0.14,0.42,0.21,1.34,0.08,0.38,0.17,1.69,0.12,0,1.1288482e-07," other",0
"lcl|MZ501080.1_prot_QXV80778.1_12",0.21,0.2,0.14,0.27,5.29,1.16,0.7,0.07,0.17,0.13,1.67,0.87,0,9.53708e-05," other",0
"lcl|MZ501080.1_prot_QXV80779.1_13",0.14,0.16,0.34,8.28,0.15,0.06,0.24,0.05,0.12,0.09,0.37,0.95,0,0.0383701," major_tail",0
"lcl|MZ501080.1_prot_QXV80780.1_14",0.02,0.36,0.04,0.03,0.07,0.02,0.07,0.01,0.01,0.24,9.13,1,0,5.3925902e-08," other",0
"lcl|MZ501080.1_prot_QXV80781.1_15",0.16,0.34,0.3,0.17,0.32,0.5,0.28,0.19,0.3,2.61,4.82,0.98,0,1.7512178e-07," other",0
"lcl|MZ501080.1_prot_QXV80782.1_16",0,0.02,0,0.01,0.03,0.16,0.07,0.01,0.06,0.65,8.98,1,0,2.322925e-06," other",0
"lcl|MZ501080.1_prot_QXV80783.1_17",1.26,2.77,0.94,0.09,0.48,0.86,1.29,0.37,0.55,0.23,1.15,0.08,0,2.3472874e-06," other",0
"lcl|MZ501080.1_prot_QXV80784.1_18",0,0,0,0,0,0,0.01,0,0,0,9.97,1,0,3.6889178e-06," other",0
"lcl|MZ501080.1_prot_QXV80785.1_19",0.07,0.04,0.07,0.08,7.44,0.05,0.27,0.01,0.03,0.07,1.88,0.93,0,0.00013613587," minor_tail",0
"lcl|MZ501080.1_prot_QXV80786.1_20",0,0,0,0,9.97,0,0,0,0,0,0.02,0.99,0,0.00111458," minor_tail",0
"lcl|MZ501080.1_prot_QXV80787.1_21",0,0,0,0.01,8.72,0,0.01,0,0,0.01,1.24,0.96,0,4.535093e-06," minor_tail",0
"lcl|MZ501080.1_prot_QXV80788.1_22",1.93,0.69,0.52,0.78,0.34,0.31,1.01,0.22,1.27,0.79,2.13,0.96,0,0.00014533238," other",0
"lcl|MZ501080.1_prot_QXV80789.1_23",0,0,0.01,0,0.01,0,9.89,0,0.07,0,0.01,1,1,0.99960726," tail_fiber",1
"lcl|MZ501080.1_prot_QXV80790.1_24",0.14,0.29,0.5,0.5,0.68,0.15,3.25,0.19,3.43,0.12,0.75,0.67,1,0.7937658," other",0
"lcl|MZ501080.1_prot_QXV80791.1_25",0,0,0,0,0,0,0.1,0,0.01,0,9.87,1,0,9.1912545e-07," other",0
"lcl|MZ501080.1_prot_QXV80792.1_26",0.01,0.04,0.02,0.01,0.04,0.02,0.3,0.01,0.04,0.08,9.43,1,0,2.0992832e-08," other",0
"lcl|MZ501080.1_prot_QXV80793.1_27",0.38,4.6,0.23,0.07,0.11,0.22,1.05,0.08,0.39,0.21,2.67,0.14,0,2.5035255e-05," other",0
"lcl|MZ501080.1_prot_QXV80794.1_28",0,0.03,0,0,0,0.05,0.03,0.11,0.01,0.03,9.74,1,0,7.1506174e-06," other",0
"lcl|MZ501080.1_prot_QXV80795.1_29",0.53,0.42,0.17,0.17,0.36,1.17,0.38,0.15,0.2,1.6,4.85,0.98,0,2.489227e-05," other",0
"lcl|MZ501080.1_prot_QXV80796.1_30",0,0,0,0,0.01,0,0,0,0,0,9.98,1,0,2.409564e-08," other",0
"lcl|MZ501080.1_prot_QXV80797.1_31",0.02,0.06,0.14,0.69,0.17,0.17,0.33,0.01,0.57,0.23,7.61,0.99,0,0.00015802373," other",0
"lcl|MZ501080.1_prot_QXV80798.1_32",0.23,1.15,0.16,0.23,0.29,1.88,0.32,0.16,0.33,0.3,4.95,0.98,0,0.00036416887," other",0
"lcl|MZ501080.1_prot_QXV80799.1_33",0.17,0.61,0.17,0.49,0.1,0.65,0.82,0.1,0.59,0.64,5.65,0.98,0,1.7246843e-07," other",0
"lcl|MZ501080.1_prot_QXV80800.1_34",0.03,0.11,0.18,0.14,0.24,0.04,6.9,0.06,2.01,0.04,0.26,0.82,1,0.99987113," tail_fiber",1
"lcl|MZ501080.1_prot_QXV80801.1_35",0,0.05,0.01,0.01,0.02,0.03,0.03,0,0.01,0.04,9.79,1,0,1.4148345e-07," other",0
"lcl|MZ501080.1_prot_QXV80802.1_36",0.05,0.28,0.08,0.04,0.05,0.23,0.11,0.06,0.18,0.17,8.78,1,0,1.9233859e-07," other",0
"lcl|MZ501080.1_prot_QXV80803.1_37",0.06,0.2,0.16,0.11,0.13,0.16,0.2,0.11,0.14,0.11,8.6,1,0,9.321661e-06," other",0
"lcl|MZ501080.1_prot_QXV80804.1_38",0.02,0.05,0.01,0.01,0.03,0.05,0.17,0.01,0.08,0.02,9.56,1,0,1.5742505e-07," other",0
"lcl|MZ501080.1_prot_QXV80805.1_39",0,0.23,0.01,0.09,0.03,0.02,0.06,0.11,0.02,0.26,9.16,1,0,8.833987e-07," other",0
"lcl|MZ501080.1_prot_QXV80806.1_40",0.04,0.59,0.08,0.08,0.12,0.41,0.34,0.05,0.18,0.78,7.32,0.99,0,6.822739e-08," other",0
"lcl|MZ501080.1_prot_QXV80807.1_41",0,0.03,0.01,0,0.02,0,0.01,0.51,0,0.07,9.34,1,0,1.3403261e-06," other",0
"lcl|MZ501080.1_prot_QXV80808.1_42",0,0,0,0,0,0,0,0,0,0,10,1,0,6.6757465e-08," other",0
"lcl|MZ501080.1_prot_QXV80809.1_43",0,0.03,0.01,0.16,0.05,0.07,0.14,0.03,0.01,0.03,9.47,1,0,7.645417e-05," other",0
"lcl|MZ501080.1_prot_QXV80810.1_44",0,0.02,0,0,0,0,0.01,0,0,0,9.97,1,0,4.0526068e-08," other",0
"lcl|MZ501080.1_prot_QXV80811.1_45",0.02,0.04,0.02,0.06,0.34,0.02,0.02,0.02,0.01,5.52,3.93,0.78,0,3.8904684e-05," other",0
"lcl|MZ501080.1_prot_QXV80812.1_46",0,0,0,0,0,0.25,0.03,0,0,0,9.71,1,0,2.683338e-07," other",0
"lcl|MZ501080.1_prot_QXV80813.1_47",0.17,0.91,0.3,0.13,0.28,0.41,1.05,0.14,0.53,0.13,5.96,0.98,0,8.370555e-05," other",0
"lcl|MZ501080.1_prot_QXV80814.1_48",0.01,0.12,0.68,1.08,0.57,0.05,0.04,0.01,0.07,0.13,7.25,0.99,0,2.1820378e-07," other",0
"lcl|MZ501080.1_prot_QXV80815.1_49",0.55,0.78,0.14,0.1,0.06,0.18,0.18,5.08,0.05,0.62,2.27,1,0,0.00014309412," other",0
"lcl|MZ501080.1_prot_QXV80816.1_50",0.06,0.71,0.18,0.16,0.33,0.25,0.69,0.16,0.15,0.52,6.81,0.98,0,2.5088796e-06," other",0
"lcl|MZ501080.1_prot_QXV80817.1_51",0.42,0.7,0.24,0.72,0.32,0.39,2.28,0.41,0.95,0.4,3.17,0.97,0,3.3504682e-06," other",0
"lcl|MZ501080.1_prot_QXV80818.1_52",0,0,0,0,0,0,0.01,0,0,0,9.99,1,0,7.422402e-07," other",0
"lcl|MZ501080.1_prot_QXV80819.1_53",0.41,0.84,0.39,0.68,0.53,1.55,0.58,0.32,0.6,0.27,3.83,0.97,0,1.695123e-05," other",0
"lcl|MZ501080.1_prot_QXV80820.1_54",0.02,0.44,0.12,0.07,0.06,0.05,0.15,0.02,0.05,0.47,8.56,1,0,8.018047e-05," other",0
"lcl|MZ501080.1_prot_QXV80821.1_55",0,0.11,0,0,0,0,0.01,0,0,0,9.87,1,0,1.7050721e-06," other",0
"lcl|MZ501080.1_prot_QXV80822.1_56",0,0.09,0.01,0,0.02,0.07,0.04,0.01,0.01,0.09,9.66,1,0,6.8128043e-06," other",0
"lcl|MZ501080.1_prot_QXV80823.1_57",0,0,0,0,0,0.02,0,0,0,0,9.98,1,0,4.6819117e-08," other",0
"lcl|MZ501080.1_prot_QXV80824.1_58",0.07,0.08,0.55,0.01,0.11,0.08,0.16,0.01,0.08,0.21,8.65,1,0,2.1808693e-05," other",0
"lcl|MZ501080.1_prot_QXV80825.1_59",0.01,0.03,0.01,0,0.02,0.01,0.04,0.02,0.01,0.01,9.85,1,0,1.1701593e-07," other",0
"lcl|MZ501080.1_prot_QXV80826.1_60",0,0,0,0,0,0,0,0,0,0,10,1,0,4.528043e-08," other",0
"lcl|MZ501080.1_prot_QXV80827.1_61",0,0.02,0,0.01,0.03,0.03,0.06,0.01,0.01,0.02,9.81,1,0,4.7400436e-06," other",0
"lcl|MZ501080.1_prot_QXV80828.1_62",0.69,0.75,0.23,0.41,0.28,3.42,0.39,0.13,0.35,0.98,2.38,0.86,0,0.00048615946," other",0
"lcl|MZ501080.1_prot_QXV80829.1_63",0.06,0.32,0.49,0.06,0.3,0.24,0.35,0.09,0.13,0.87,7.09,0.99,0,7.164531e-08," other",0
"lcl|MZ501080.1_prot_QXV80830.1_64",0.1,0.37,0.11,0.31,0.4,0.19,0.39,0.13,0.14,0.43,7.42,0.99,0,5.4055505e-07," other",0
"lcl|MZ501080.1_prot_QXV80831.1_65",0,0,0.01,0,0,0,0.01,0,0.01,0,9.97,1,0,4.203603e-06," other",0
"lcl|MZ501080.1_prot_QXV80832.1_66",0.02,0,0.18,0,0.03,0,0.06,0,0,0.34,9.36,1,0,3.4379704e-07," other",0
"lcl|MZ501080.1_prot_QXV80833.1_67",0.03,0.12,0.09,0.02,0.06,0.03,0.15,0.03,0.13,0.19,9.16,1,0,3.8700978e-06," other",0
"lcl|MZ501080.1_prot_QXV80834.1_68",0.01,0.16,0.02,0.01,0.07,0.02,0.05,0.02,0.01,0.71,8.93,1,0,9.043766e-08," other",0
"lcl|MZ501080.1_prot_QXV80835.1_69",0.03,0.37,0.04,0.04,0.03,0.24,0.09,0.02,0.05,0.06,9.04,1,0,6.0490464e-07," other",0
"lcl|MZ501080.1_prot_QXV80836.1_70",0,0.15,0,0,0.01,0,0,0,0,0,9.84,1,0,9.309726e-08," other",0
"lcl|MZ501080.1_prot_QXV80837.1_71",0,0.05,0.03,0.01,0.03,0.17,0.04,0,0,0.02,9.65,1,0,1.2631996e-06," other",0
"lcl|MZ501080.1_prot_QXV80838.1_72",0,0.02,0,0.01,0,0,0.01,0,0.02,0,9.94,1,0,5.0205836e-07," other",0
"lcl|MZ501080.1_prot_QXV80839.1_73",0,0,0,0,0,0,0,0,0,0,10,1,0,2.5597955e-09," other",0
"lcl|MZ501080.1_prot_QXV80840.1_74",0,0.02,0,0.01,0.22,0,0,0,0,0,9.75,1,0,2.4498803e-09," other",0
"lcl|MZ501080.1_prot_QXV80841.1_75",0,0,0,0,0,0,0,0,0,0.01,9.99,1,0,3.279273e-08," other",0
"lcl|MZ501080.1_prot_QXV80842.1_76",0.04,1.33,0.02,0.02,0.02,0.1,0.05,0,0.03,0.05,8.33,0.99,0,0.00015950883," other",0
"lcl|MZ501080.1_prot_QXV80843.1_77",0,0,0,0,0,0,0,0,0,0,10,1,0,1.8901453e-08," other",0
"lcl|MZ501080.1_prot_QXV80844.1_78",0.11,0.24,1.17,0.66,0.25,0.96,0.77,0.18,0.34,0.16,5.15,0.98,0,2.4825226e-06," other",0
"lcl|MZ501080.1_prot_QXV80845.1_79",0,0,0,0,0,0,0,0,0,0.01,9.98,1,0,1.3088538e-07," other",0
"lcl|MZ501080.1_prot_QXV80846.1_80",0,0.02,0.05,0,0.02,0.25,0.07,0,0.09,0.08,9.4,1,0,1.0474898e-05," other",0
"lcl|MZ501080.1_prot_QXV80847.1_81",0,0.01,0,0,0.01,0,0,0,0,0,9.97,1,0,8.110899e-07," other",0
"lcl|MZ501080.1_prot_QXV80848.1_82",0.03,0.03,0.02,0.41,0.38,0.02,0.06,0.01,0.04,0.06,8.94,1,0,1.8969853e-05," other",0
"lcl|MZ501080.1_prot_QXV80849.1_83",0,0,0,0,0,0,0,0,0,0.01,9.99,1,0,1.3030649e-07," other",0
"lcl|MZ501087.1_prot_QXV81828.1_1",0.26,0.85,0.19,0.22,0.34,0.85,0.46,0.27,0.46,0.38,5.73,0.98,0,2.5543579e-05," other",0
"lcl|MZ501087.1_prot_QXV81829.1_2",0,0,0,0,0,0,0,0,0,0,10,1,0,1.281571e-08," other",0
"lcl|MZ501087.1_prot_QXV81830.1_3",0.37,1.06,0.65,0.24,1.11,1.08,0.61,0.26,0.2,0.87,3.55,0.97,0,3.442289e-06," other",0
"lcl|MZ501087.1_prot_QXV81831.1_4",0,0.1,0.01,0,0.01,0.01,0.01,0,0.01,0.11,9.73,1,0,2.8774568e-05," other",0
"lcl|MZ501087.1_prot_QXV81832.1_5",0.26,0.69,0.76,0.2,0.2,4.95,0.77,0.18,0.27,0.51,1.21,0.93,0,0.00016357962," portal",0
